year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity,renewables_percentage
2009,178145.0,507380512.0,1.910265725985601e-06,1.5427274061205298e-06,1.5045671134729472e-06,20.0
2010,182154.0,544428736.0,1.910265725985601e-06,1.7967507942769219e-06,0.0,0.0
2011,186058.0,572220032.0,2.2923188711827207e-06,1.920664642158089e-06,1.5045671134729472e-06,16.666666666666668
2012,189936.0,588710976.0,2.2923188711827207e-06,2.1251224911620147e-06,1.5045671134729472e-06,16.666666666666668
2013,193765.0,619718016.0,2.6743720163798412e-06,2.1251224911620147e-06,1.5045671134729472e-06,14.285714285714285
2014,197511.0,660060032.0,3.0564251615769613e-06,2.1251224911620147e-06,1.5045671134729472e-06,12.5
2015,201142.0,687729984.0,3.0564251615769613e-06,2.298601878195649e-06,1.5045671134729472e-06,12.5
2016,204640.0,717552000.0,3.438478306774081e-06,2.4287114184708744e-06,1.5045671134729472e-06,11.111111111111112
2017,208050.0,748015744.0,3.438478306774081e-06,2.4968640348055164e-06,1.5045671134729472e-06,11.111111111111112
2018,211358.0,762655232.0,3.438478306774081e-06,2.434907110864933e-06,1.5045671134729472e-06,11.111111111111112
1985,12890250.0,192246218752.0,0.0019734573162012046,0.004519515969462201,0.0,0.0
1986,13483356.0,180536016896.0,0.0021274629390301636,0.004859814374205855,0.0,0.0
1987,14089800.0,188872491008.0,0.002483345443781281,0.005151501376425728,0.0,0.0
1988,14713717.0,194907914240.0,0.0026778487000011348,0.005390264774215555,0.0,0.0
1989,15353231.0,201950986240.0,0.002893288468577791,0.005305197917645134,0.0,0.0
1990,16004768.0,230231015424.0,0.0030518405238345956,0.005749999065999371,0.0,0.0
1991,16654283.0,279282647040.0,0.003247298912917442,0.006023322035963255,0.0,0.0
1992,17281352.0,306153193472.0,0.0035711653641010413,0.006080966757997574,0.0,0.0
1993,17846472.0,318108073984.0,0.003922501436424313,0.006211658693357841,0.0,0.0
1994,18367526.0,336600596480.0,0.004051520783557381,0.007182709562278607,0.0,0.0
1995,18888862.0,354480717824.0,0.004199833814522902,0.006999478155416726,0.0,0.0
1996,19410278.0,381901504512.0,0.0042853755137325375,0.007238303510130494,0.0,0.0
1997,19938380.0,404884848640.0,0.00455040578055578,0.007372725252311983,0.0,0.0
1998,20472576.0,436679278592.0,0.004820288122323026,0.007758890367848852,0.0,0.0
1999,21009664.0,440714592256.0,0.005004857996767754,0.007900480526130267,0.0,0.0
2000,21547398.0,488694415360.0,0.0052983130175936624,0.008268814438957037,0.0,0.0
2001,22085932.0,507467235328.0,0.005581414398184728,0.008810640130202229,0.0,0.0
2002,22623412.0,518914113536.0,0.005918385272248588,0.009176501961763768,0.0,0.0
2003,23150850.0,608022953984.0,0.006364241292693628,0.009720533319501243,0.0,0.0
2004,23661804.0,691927973888.0,0.00662518359086326,0.010546152700856277,0.0,0.0
2005,24397652.0,770496462848.0,0.007299125338990981,0.011219364245009869,0.0,0.0
2006,25382870.0,835772416000.0,0.007500085293364666,0.011771177392394283,0.0,0.0
2007,26400066.0,898734227456.0,0.007810312447264728,0.012043087744492323,0.0,0.0
2008,27437352.0,1008968663040.0,0.007801525224925193,0.01318561679180344,0.0,0.0
2009,28483800.0,1045205417984.0,0.008302396898278618,0.013660665310425469,0.0,0.0
2010,29411930.0,1159438139392.0,0.009504336093068758,0.015184613572899608,0.0,0.0
2011,30150952.0,1355526832128.0,0.009900907257783368,0.0158424969740703,1.5045671134729472e-06,0.003858769052672198
2012,30821554.0,1438371676160.0,0.010759762728186495,0.016814718828853544,4.513701340418841e-06,0.010652274260554628
2013,31482502.0,1486736457728.0,0.011259870295249526,0.016920107556476476,6.018268453891789e-06,0.013572204125950052
2014,32125570.0,1550550827008.0,0.012538984225369483,0.018162325294407995,7.522835567364736e-06,0.015234613040828763
2015,32749838.0,1621729738752.0,0.013396311483191821,0.018936216839965034,7.522835567364736e-06,0.014259639516313028
2016,33416272.0,1649723179008.0,0.0136645127911202,0.01969964386106851,7.522835567364736e-06,0.013979757311413075
2017,34193120.0,1637482233856.0,0.015090717182141049,0.019711880353546776,1.053196979431063e-05,0.0177219676447505
2018,35018132.0,1677338607616.0,0.014318205722552471,0.01921534517370215,2.4073073815567155e-05,0.042692851615657605
2000,9704291.0,20451864576.0,5.5015652908385296e-05,0.0001216462244649417,7.522835567364736e-06,3.4722222222222223
2001,9938028.0,21264652288.0,6.418492839311618e-05,0.00013272412246551803,7.522835567364736e-06,2.9761904761904763
2002,10180944.0,21278959616.0,6.838751299028451e-05,0.00013778600315146372,3.6109610723350726e-05,13.40782122905028
2003,10434505.0,22579513344.0,7.259009758745283e-05,0.00013892601055197045,5.7173550311971986e-05,20.0
2004,10698699.0,23766556672.0,7.60285758942269e-05,0.00014707334605015718,5.1155281858080204e-05,17.085427135678394
2005,10974066.0,24954050560.0,8.634401081454915e-05,0.00015266805628199188,4.814614763113431e-05,14.159292035398233
2006,11263389.0,25426415616.0,8.710811710494338e-05,0.00014989238608945375,4.363244629071546e-05,12.719298245614036
2007,11563878.0,26522044416.0,9.398507371849156e-05,0.00016176333271646954,3.6109610723350726e-05,9.75609756097561
2008,11872933.0,27345926144.0,9.895176460605411e-05,0.000165846294004154,4.212787917724252e-05,10.810810810810812
2009,12195028.0,27841705984.0,0.00010124408347723684,0.00015869646498141066,4.363244629071546e-05,10.943396226415093
2010,12530128.0,28867536896.0,0.00010773898694558788,0.00016461335121773638,6.018268453891789e-05,14.184397163120568
2011,12875878.0,29228466176.0,0.00010926719952637636,0.00017253144609734295,5.867811742544494e-05,13.636363636363638
2012,13231840.0,30546520064.0,0.00012072879388228997,0.00016974338452001672,6.770552010628262e-05,14.240506329113925
2013,13595571.0,31644256256.0,0.00012607753791504965,0.00017665777723178583,7.071465433322851e-05,14.242424242424242
2014,13970314.0,33021583360.0,0.00013906734485175174,0.00019624855658179833,7.37237885601744e-05,13.461538461538462
2015,14356191.0,35168681984.0,0.00014861867348167973,0.00022787137056107213,7.97420570140662e-05,13.624678663239076
2016,14751356.0,37469413376.0,0.0001593161615471991,0.00022038697414904966,7.37237885601744e-05,11.750599520383693
2017,15157793.0,40244772864.0,0.00017115980904830984,0.0002339927146464018,8.726489258143092e-05,12.94642857142857
2018,15574910.0,42805547008.0,0.0001784188188070551,0.000243571255087616,0.00010531969794310629,14.989293361884368
